distance_km,elapsed_time_minutes,total_elevation_gain_meters,is_race
15.0321,175.55,1431.0,0
10.030899999999999,71.8,630.0,0
10.0634,47.416666666666664,104.0,0
11.0464,51.8,119.0,0
108.024,1244.7333333333333,5969.0,1
23.6124,349.0,1506.0,0
11.0136,57.35,193.0,0
10.024799999999999,70.35,207.0,0
10.1025,76.13333333333334,820.0,0
10.011299999999999,72.3,668.0,0
10.2625,48.733333333333334,96.0,0
4.3748000000000005,39.36666666666667,128.0,0
11.0412,91.36666666666666,762.0,0
4.5477,68.58333333333333,803.0,0
10.6229,98.18333333333334,1004.0,0
4.5593,27.166666666666668,69.0,0
8.9063,45.21666666666667,79.0,0
4.784,62.1,790.6,0
13.5658,213.0,1565.1,0
2.8156999999999996,38.31666666666667,337.0,0
53.8221,438.15,2593.0,1
19.9175,83.81666666666666,258.0,1
10.244299999999999,71.41666666666667,630.0,0
4.506600000000001,62.05,809.0,0
4.583,59.25,797.0,0
35.7644,266.1333333333333,1569.0,1
70.1906,600.45,3490.0,1
4.1017,27.416666666666668,128.0,0
4.5628,62.95,806.0,0
4.514399999999999,65.71666666666667,788.0,0
10.1561,46.56666666666667,116.0,0
5.9505,121.53333333333333,1174.0,0
55.024800000000006,674.3166666666667,3437.0,0
4.6103000000000005,79.61666666666666,813.0,0
7.7427,57.61666666666667,149.0,0
10.1723,50.233333333333334,216.0,0
26.8167,134.38333333333333,959.0,1
10.0165,59.18333333333333,420.0,0
8.0057,97.31666666666666,447.0,0
10.1502,46.43333333333333,107.0,0
13.0255,55.4,65.0,0
4.841600000000001,83.65,852.0,0
10.1383,47.31666666666667,97.0,0
21.146900000000002,122.91666666666667,872.0,1
7.5865,34.766666666666666,242.0,1
4.8256000000000006,81.15,840.0,0
35.466,360.0,1598.0,0
6.1174,90.36666666666666,885.0,0
15.8482,97.78333333333333,898.0,1
10.1234,83.5,844.0,0
11.0146,69.41666666666667,452.0,0
4.5988999999999995,72.81666666666666,803.0,0
10.0297,49.95,295.0,0
10.0067,49.65,279.0,0
4.5261000000000005,61.28333333333333,802.0,0
4.5713,65.65,799.0,0
12.315,79.0,51.5,0
4.568,66.55,797.0,0
12.316,236.55,1262.0,0
11.505,72.98333333333333,536.0,0
10.0426,46.93333333333333,114.0,0
4.0036,25.1,121.0,0
7.0235,49.7,346.0,0
0.45339999999999997,4.133333333333334,16.0,0
5.924,25.333333333333332,180.0,1
6.2317,91.31666666666666,904.0,0
9.609,97.78333333333333,1837.0,1
12.3602,100.28333333333333,440.0,0
3.0486999999999997,28.666666666666668,96.0,0
5.873399999999999,61.733333333333334,552.0,0
6.0248,44.95,888.0,1
6.2587,39.85,650.0,1
10.0246,54.7,202.0,0
20.0945,110.5,452.0,0
14.320200000000002,144.68333333333334,1384.0,0
3.9254000000000002,18.583333333333332,115.0,0
5.3338,65.11666666666666,502.0,0
5.1049,74.2,851.0,0
4.5443999999999996,59.88333333333333,802.0,0
5.7943999999999996,53.65,1022.0,1
